NomProduits;Année;Mois;QuantitéCommandé;MontantCommandé
Flagyl 125ml/5ml sup buv /120ml;2023;1;11;18?313
Fercefol cp B/30;2023;2;20;18?320
Bepanthene pde T/30g;2023;4;9;18?365
Bepanthene pde T/30g;2023;9;9;18?368
Nuravit 4mg cp b/15;2023;8;10;18?383
Hypafix 10cmx2m;2023;7;17;18?457
Boncipro gtte;2023;1;14;18?493
Ospen 1000000UI cp B/12;2023;5;10;18?500
Vogalene sp FL/150ml;2023;7;10;18?500
Zeben cp B/1;2023;5;42;18?509
Phenergan 25mg cp B/20;2023;5;42;18?517
Dynapar gel;2023;3;20;18?520
Eucarbon cp B/30 sans sucre;2023;4;10;18?540
Eludril pro fl 200ml;2023;9;10;18?570
Primalan sp FI/60ml;2023;5;15;18?585
Ospen 1000000UI cp B/12;2023;7;10;18?610
Corneregel gel ophthalmique;2023;1;10;18?660
Visceralgine sp FL/150ml ;2023;5;17;18?671
Flustaph 500 cp b/12 ;2023;6;10;18?680
Vermox 100mg cp B/6;2023;6;20;18?680
Cotrimoxazole ubi 400mg cpr 100bl10;2023;7;100;18?700
Flubenda GH100mg cp b/6;2023;9;15;18?720
Orofer gelules;2023;5;12;18?750
Artane 5mg cp B/20;2023;1;21;18?753
Advilmed sp ped f/200ml;2023;4;10;18?780
Fansidar cp B/3;2023;5;25;18?810
Advilmed sp ped f/200ml;2023;7;10;18?830
Doliprane suppo 100mg B/10;2023;1;26;18?830
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;2;20;18?840
Efferalgan vit c cp eff b/20;2023;6;21;18?856
Efferalgan vit c cp eff b/20;2023;5;21;18?871
Haleflu sachet b/10;2023;8;18;18?882
Hypafix 5x5;2023;3;50;18?900
Profenid 100mg suppo B/12;2023;7;10;18?930
Troynoxa 40;2023;3;10;18?930
Troynoxa 40;2023;4;10;18?960
Vovgel;2023;8;30;18?970
L300mesitran PM T/15g;2023;5;12;18?997
Klipal 300 cp;2023;5;19;19?000
Vovgel;2023;7;30;19?000
No300Spa 40mg cp B/20;2023;7;17;19?001
Terpone sp Ad Fl/180ml;2023;5;17;19?014
Polygynax ovule B/12;2023;4;10;19?022
Magnoral amp buv 10ml B/20;2023;3;9;19?038
Profenid 100mg suppo B/12;2023;8;10;19?080
Genta gtte a;2023;1;22;19?086
Acfol 5mg cp bte/25;2023;3;15;19?110
Acfol 5mg cp bte/25;2023;9;15;19?110
Curam 500mg cpr enr b/16;2023;4;9;19?134
Chericof sp Fl/100ml;2023;4;21;19?154
Novoclin 250 mg;2023;3;9;19?262
Panadol advence 500mg b/16;2023;6;27;19?263
Amitron 250 sp;2023;1;28;19?272
Bibactin 240mg sp Fl/100ml;2023;8;22;19?272
Meteoxane comprimï¿½s;2023;1;10;19?299
Mediclav 500mg/62.5mg sht b/12;2023;4;9;19?307
Efferalgan codeine cp eff B/16 sans sucre;2023;5;14;19?352
Panalgic  cp eff B/16;2023;9;25;19?360
Meteoxane comprimï¿½s;2023;5;10;19?386
Erythromycine 500 creat bte/10 x10;2023;1;17;19?397
Maloxine cp plaq/3;2023;7;50;19?400
Maloxine cp plaq/3;2023;1;50;19?400
Paracetamol kabi 10mg/ml perf f/100ml;2023;1;18;19?404
Efferalgan 250mg  sachet B/12;2023;3;25;19?425
Normet 200mg cp B/10;2023;7;9;19?446
Normet 200mg cp B/10;2023;2;9;19?450
Betamecro 2mg cp disp b/10;2023;8;15;19?470
Xykaa extend 1000mg cp b/20;2023;9;10;19?500
Betastene 2mg cp disp b/20;2023;6;9;19?510
Biofar ACE selemenium zinc vit B9 B6 cp B/20;2023;7;10;19?540
;2023;9;15;19?560
Flugen cp;2023;6;15;19?560
Surdex sp Fl/60ml;2023;2;25;19?560
Wormin 100mg susp f/30ml;2023;6;20;19?580
Chibroxine 0,3% cy Fl/5ml;2023;6;10;19?590
Normet sp Fl/30ml;2023;6;15;19?605
Norflozole sirop;2023;5;15;19?610
Carben 500 cp B/1;2023;8;25;19?620
Suligrine edulco cp b/1200;2023;2;10;19?630
Dolex 75 cp;2023;2;9;19?635
Betastene gtte;2023;4;10;19?640
Neurobion cp;2023;4;12;19?652
Nurabol 4mg cp bte/30;2023;3;19;19?661
Norvel 72 cp;2023;4;15;19?665
Doxy 200mg cp B/8;2023;5;15;19?680
Coton codex hydro labell 100g;2023;6;10;19?690
Flustaph 250 sp ;2023;5;14;19?712
Fructines vichy 5mg cp ;2023;3;16;19?764
Fucidine 2% creme T/15gr;2023;9;13;19?773
Fructines vichy 5mg cp ;2023;1;16;19?779
Boncipro gtte;2023;8;15;19?780
Vicombil cp B/60 sans sucre;2023;6;64;19?780
Dolex 50 cp;2023;4;18;19?818
Respibien  gtte nasale FL/15ml;2023;3;20;19?840
Doxy 200mg cp B/8;2023;2;15;19?880
Novalgin 500mg cp B/20;2023;4;21;19?885
Metformin denk 500mg BL/10x10;2023;2;9;19?890
Alpraz 0,5 mg cp B/28;2023;4;14;19?891
Maloxine cp plaq/3;2023;6;50;19?900
Maloxine cp plaq/3;2023;9;50;19?900
Maloxine cp plaq/3;2023;4;50;19?900
Tardyferon B9 cp B/30;2023;2;62;19?900
Ferfoltone gelu B/30;2023;4;30;19?905
Vitabact cy FL/10ml;2023;2;25;19?915
Diclo denk 50mg cp bte /20;2023;4;30;19?920
Volini gel T/30g;2023;5;25;19?925
Doxy 200mg cp B/8;2023;1;15;19?930
Ferfoltone gelu B/30;2023;2;30;19?940
Desloratadine gh;2023;4;10;19?950
Trialgic cp;2023;2;17;19?968
Mayana serum anti tache;2023;4;10;19?990
Oxytroy inj;2023;2;30;19?990
Antadys 100mg cp B/15;2023;7;10;20?000
Antadys 100mg cp B/15;2023;8;10;20?000
Serum glucose 5% kabipac;2023;5;30;20?020
Desloratadine gh;2023;8;13;20?022
Glucophage 500mg cp B/30;2023;4;25;20?055
Oxytroy inj;2023;4;30;20?070
Rifamycine chibret cy FL/10ml;2023;7;12;20?082
Escodyne cpeff  B/10;2023;5;16;20?091
Broxol sp FL/100ml;2023;1;14;20?099
Clamoxyl 500mg gel B/12 sans sucre;2023;9;20;20?100
Silverex creme T/25ml;2023;3;30;20?100
Biofar ACE selemenium zinc vit B9 B6 cp B/20;2023;1;14;20?119
Stimogene sp Fl/200ml;2023;2;12;20?132
Genes vit plus  cp eff B/12 sans sucre;2023;3;10;20?160
Gentasol collyre;2023;5;30;20?170
Astaph 125mg sirop fl/60ml;2023;7;15;20?175
Gentasol collyre;2023;6;30;20?190
Voltarene emulgel 1% T/50g;2023;6;15;20?190
Diprosone 0,05% creme T/30g;2023;7;10;20?200
Diprosone 0,05% creme T/30g;2023;9;10;20?210
Gastricid cp b/50;2023;9;50;20?250
Codoliprane cp B/16;2023;5;17;20?265
Celestene 0,5mg gtte;2023;4;9;20?292
Paracetamol kabi 10mg/ml perf f/100ml;2023;5;12;20?316
Collecteur d'urine labell 2l sach/1;2023;3;10;20?340
Cofantrine ad 80/400mg cp bt/6;2023;3;12;20?360
Appetine 2mg/5ml Fl/100ml;2023;3;29;20?365
Calgen cp;2023;5;10;20?400
Bepanthene pde T/30g;2023;8;10;20?412
Apramol 500mg cp eff B/16;2023;9;25;20?530
Vicombil cp B/60 sans sucre;2023;7;9;20?566
Zing sirop;2023;9;10;20?600
Fludol sp f/120ml;2023;3;12;20?606
Dacryoserum sol oculaire unidose/20;2023;6;10;20?609
Biofar vit c 1000 b/20;2023;7;13;20?626
Zing sirop;2023;5;10;20?635
L300mesitran PM T/15g;2023;9;13;20?647
Aspirin cardio cp gastro resist bte/30;2023;3;17;20?649
Gastricid cp b/50;2023;6;50;20?650
Corneregel gel ophthalmique;2023;8;11;20?658
Bande velpeau crep 4x10 bleu b/1;2023;1;20;20?670
Catheter G20  rose;2023;1;100;20?700
Dermobacter sol mouss derm Fl/300ml;2023;9;10;20?700
Dermobacter sol mouss derm Fl/300ml;2023;7;10;20?700
Litacold bebe vaporub;2023;4;10;20?700
Levothyrox 100 cp B/28;2023;1;18;20?706
Ramithiazide 5/12.5 cp;2023;4;9;20?710
Gastricid cp b/50;2023;5;50;20?750
Glucophage 850mg cp B/30;2023;4;10;20?805
Prï¿½dni 20mg cooper cp b/20;2023;6;10;20?820
Flugen cp;2023;5;16;20?850
Tensoplast 6HB/2.5m;2023;5;50;20?850
Ketoprofen GH suppo;2023;5;19;20?853
Nifluril 250mg cp B/30;2023;4;14;20?868
Profenid 100mg suppo B/12;2023;3;11;20?886
Dolex 50 cp;2023;3;19;20?908
Laroscorbine 1g cp eff b/10;2023;4;19;20?911
Litacold bebe vaporub;2023;9;10;20?930
Vit b denk  b1/00 detail;2023;5;40;20?930
Ovumix ;2023;1;10;20?955
Lasilix 40mg cp B/30;2023;7;12;20?960
Ovumix ;2023;8;10;20?960
Litacold ad vaporub;2023;3;12;20?988
Artesum 60mg sol inj b/1;2023;1;18;21?006
Saforelle sol fl/250ml;2023;9;10;21?010
Norvel 72 cp;2023;2;16;21?018
Saforelle sol fl/250ml;2023;6;10;21?020
Flucogen 500mg;2023;6;19;21?033
Brustan cp  B/10;2023;4;24;21?036
Vermox 500mg cp B/1;2023;3;25;21?045
Appetine 2mg/5ml Fl/100ml;2023;9;30;21?060
Fludol gï¿½lules b/10x10;2023;5;60;21?060
Sterdex pde opht capsule B/12;2023;6;25;21?075
Bande de gaze 10cmx4.5m b/12;2023;1;211;21?100
Genset sp;2023;2;30;21?110
CAC 1000 orange cp eff B/10;2023;5;17;21?125
Brustan sp FL/100ml;2023;3;26;21?130
Surdex sp Fl/60ml;2023;5;27;21?131
Cipromed TZ cp B/10;2023;1;16;21?139
Doxy 200mg cp B/8;2023;3;16;21?154
Flixotide 50mcg 120dose b/1;2023;5;14;21?156
Doxy denk 200 cp pell b/8;2023;1;16;21?165
Magnoral amp buv 10ml B/20;2023;2;10;21?183
Apramol 500mg cp eff B/16;2023;5;25;21?200
Magnoral amp buv 10ml B/20;2023;9;10;21?202
Pinkoo sp Fl/120ml;2023;5;24;21?206
Neurobion cp;2023;3;13;21?238
Exxib 200mg cp;2023;4;12;21?264
Tensoplast 6HB/2.5m;2023;3;50;21?300
Escodyne cpeff  B/10;2023;9;17;21?325
Compresse 40x40;2023;7;20;21?340
Gastricid cp b/50;2023;2;50;21?350
Celestene 2mg cp B/20;2023;7;10;21?370
Celestene 2mg cp B/20;2023;8;10;21?370
Metro300GH 500 mg IV sol perf fl/100ML;2023;1;11;21?375
Apramol 500mg cp eff B/16;2023;1;26;21?389
Polygynax ovule B/12;2023;3;10;21?420
Vitapetine sp FL/125ml;2023;7;9;21?451
Fludol DM sp;2023;1;17;21?465
Prenatal denk;2023;1;14;21?469
Cyteal sol mouss Fl/250ml;2023;6;15;21?480
Verex cp B/1;2023;9;30;21?500
Yum vita ble;2023;3;12;21?504
Cetamyl sirop;2023;4;28;21?532
Novoclin 250 mg;2023;5;10;21?539
Polygynax ovule B/12;2023;7;13;21?588
Calsource calcium 500mg cpr eff b/20;2023;7;15;21?610
Panadol extra advance 500/65mg cp b/14;2023;2;24;21?648
Spasfon cp B/30;2023;6;15;21?660
Verex sirop;2023;3;30;21?660
Betastene 2mg cp disp b/20;2023;8;10;21?700
Nido 1+ croiss lait pdre b/900g;2023;5;11;21?707
Primolut Nor 10mg cp B/30;2023;8;10;21?710
Dynapar qps 4% sol ext fl/15ml;2023;7;11;21?778
Vogalene 5mg suppo B/10;2023;5;30;21?795
Sitrus sr comprimï¿½s;2023;4;10;21?800
Drill rhume cp;2023;1;17;21?814
Drill rhume cp;2023;5;17;21?818
Dolex 75 cp;2023;9;10;21?820
Trimetabol sp FL/150ml;2023;4;10;21?820
Vogalene 5mg suppo B/10;2023;4;30;21?820
Collyre bleue laiter faible cy;2023;5;20;21?840
Respibien  gtte nasale FL/15ml;2023;5;22;21?846
Dynapar qps 4% sol ext fl/15ml;2023;4;11;21?852
Peptex 250mg/250mgsup buv f/200ml;2023;2;16;21?865
Fedate gelules;2023;8;12;21?868
Lerin cp;2023;2;10;21?880
Genta gtte a;2023;7;25;21?885
Panadol extra advance 500/65mg cp b/14;2023;7;29;21?886
Salbutus sp FL/100ml;2023;2;25;21?886
Neutrocold cp etui/4 b/25;2023;1;132;21?919
Ketoprofen GH suppo;2023;4;20;21?940
Calgen cp;2023;3;10;21?945
Panadol extra advance 500/65mg cp b/14;2023;8;24;21?960
Calgen cp;2023;2;10;21?970
Collyre bleue laiter faible cy;2023;2;20;22?020
Prurex creme derm T/40g;2023;8;20;22?020
Otipax gtte aur Fl/15ml;2023;8;17;22?032
Salbutus sp FL/100ml;2023;6;25;22?075
Pinkoo sp Fl/120ml;2023;2;25;22?080
Salbutus sp FL/100ml;2023;5;25;22?080
Gants steriles 7.5;2023;1;135;22?095
Griseopharm 500 cp B/20;2023;7;16;22?096
Leukoplast 5Mx18Cm;2023;5;60;22?100
Visceralgine sp FL/150ml ;2023;2;20;22?110
Paracetamol kabi 10mg/ml perf f/100ml;2023;6;20;22?120
Skilax gtte buv FL/15ml;2023;1;21;22?122
Astaph 500mg b/12;2023;7;10;22?130
Visceralgine sp FL/150ml ;2023;6;20;22?140
Flugen cp;2023;2;17;22?163
Flucogen 500mg;2023;5;20;22?190
Megamylase 200 UI sp Fl/125ml;2023;2;30;22?195
Naabak cy 5ml;2023;3;10;22?245
Nidazol 500mg cp B/20;2023;1;21;22?248
Voltfast sachets;2023;3;10;22?260
Glucophage 1000mg cp B/30;2023;5;10;22?285
Glucophage 1000mg cp B/30;2023;9;10;22?290
Eludril pro fl 200ml;2023;4;12;22?296
Doxy 200mg cp B/8;2023;6;17;22?304
Frakidex pde opht T/15g;2023;4;30;22?350
Raldol cp;2023;7;30;22?350
Normet sp Fl/30ml;2023;4;17;22?398
Normet sp Fl/30ml;2023;2;17;22?423
Efferalgan vit c cp eff b/20;2023;1;25;22?425
Frakidex pde opht T/15g;2023;5;30;22?435
Dynapar SR 100 cp b/10x10;2023;1;58;22?436
Duphalac sachet B/20;2023;2;12;22?491
FEmifer sp 200ml;2023;3;10;22?520
Flucazol sp  500mg/5ml Fl/60ml;2023;7;15;22?545
Trenaxa 500mg cp b/30;2023;7;11;22?556
Alfamox 250mg/5ml pdre susp f/125ml;2023;7;13;22?568
Alzol sirop;2023;5;45;22?590
Clamoxyl 500mg sp Fl/60ml;2023;7;20;22?600
Vogalene 5mg suppo B/10;2023;2;31;22?612
Anginovag 10 ml are sol;2023;8;11;22?638
Cardiurine cp B/30;2023;7;9;22?678
Bactox 125mg sp Fl/60ml;2023;1;26;22?703
Lasilix 40mg cp B/30;2023;5;13;22?732
No300Spa forte B/20 cp;2023;2;10;22?743
Sporalim lotion FL/30ml;2023;4;20;22?750
Sporalim lotion FL/30ml;2023;1;20;22?765
Flugen sp;2023;7;26;22?777
Apramol 500mg cp eff B/16;2023;2;25;22?790
Klipal 600 cp;2023;3;20;22?835
Chericof sp Fl/100ml;2023;1;25;22?840
Helmintox 250mg cp B/3;2023;3;20;22?860
Klipal 600 cp;2023;6;20;22?860
Richfer sp;2023;4;9;22?869
Richfer sp;2023;9;9;22?869
Maxilase 200 UI sp Fl/125ml;2023;7;14;22?884
Fenapar cp ;2023;1;120;22?890
Zocin sp 15ml;2023;6;9;22?916
Flub 100mg gel b/6;2023;5;20;22?945
Flur 100mg cpr b20;2023;5;13;22?973
Forticol amp B/20;2023;4;9;22?993
Neuheptavit sp f/200ml;2023;1;13;23?023
Naturex sp 100ml;2023;3;20;23?040
Flub 100mg gel b/6;2023;4;20;23?100
Flub 100mg gel b/6;2023;9;20;23?110
Biofar 12vit/12min;2023;6;10;23?130
Melex cp;2023;8;13;23?151
Melex cp;2023;1;9;23?153
Neutrocold cp etui/4 b/25;2023;5;150;23?175
Tanganil 500mg inj B/5 amp;2023;8;15;23?190
Doliprane 300mg  sachet B/12;2023;1;28;23?209
Fludol P+ sp 120ml;2023;6;13;23?256
Polygynax ovule B/12;2023;5;14;23?264
Flagyl 125ml/5ml sup buv /120ml;2023;3;14;23?265
Vermox 100mg cp B/6;2023;1;25;23?270
Aclav 100/12.5 buv fl/30ml;2023;5;15;23?340
Magnoral amp buv 10ml B/20;2023;5;11;23?340
Spironolactone altizid arrow 25/15mg bte/30;2023;5;10;23?340
Betamecro 2mg cp disp b/10;2023;9;18;23?354
Phartrim forte 800/160mg  cpr b/10 ;2023;9;22;23?378
Xykaa extend 1000mg cp b/20;2023;6;12;23?400
Panalgic  cp eff B/16;2023;5;30;23?440
Silverex creme T/25ml;2023;5;35;23?440
Orofer gelules;2023;9;15;23?465
Roipar 1000 cp eff ;2023;3;30;23?470
Carben 500 cp B/1;2023;9;30;23?490
Efferalgan codeine cp eff B/16 sans sucre;2023;9;17;23?515
Biofar Multi/ 12 vitamine cp effer B/20 sans sucre;2023;7;16;23?536
Spasmo300apotel cp;2023;1;14;23?539
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;4;25;23?540
Spasmo300apotel cp;2023;5;14;23?543
Chibroxine 0,3% cy Fl/5ml;2023;5;12;23?578
Actrapid ins;2023;1;20;23?580
Alcool 70 valda fl/125ml;2023;5;40;23?600
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;6;25;23?600
Nursie expertise 1;2023;5;10;23?610
Genacid sirop;2023;1;27;23?620
Wormin 100mg susp f/30ml;2023;4;20;23?670
Terpone sp Ad Fl/180ml;2023;1;21;23?723
Pinkoo sp Fl/120ml;2023;3;27;23?775
Normet 200mg cp B/10;2023;3;11;23?777
Normet 200mg cp B/10;2023;8;11;23?779
Coartem 80/480 cp B/6;2023;3;10;23?790
Vitapetine sp FL/125ml;2023;3;10;23?795
Coartem 80/480 cp B/6;2023;7;10;23?805
Vitapetine sp FL/125ml;2023;6;10;23?830
Clamoxyl 1g cp disp B/10 sans sucre;2023;4;10;23?835
Codoliprane cp B/16;2023;3;20;23?840
Maalox comprimes ;2023;8;24;23?844
Cofantrine ad 80/400mg cp bt/6;2023;1;14;23?851
Clamoxyl 1g cp disp B/10 sans sucre;2023;8;10;23?855
Codoliprane cp B/16;2023;8;20;23?860
Till sol mouss Fl/200ml;2023;6;20;23?860
Cromoptic 2% cy 10ml;2023;1;10;23?876
Doxy 200mg cp B/8;2023;4;18;23?886
Apramol 1g eff;2023;6;30;23?910
Appetine 2mg/5ml Fl/100ml;2023;7;34;23?931
Glucophage 500mg cp B/30;2023;9;30;23?970
Bande de gaze 10cmx4.5m b/12;2023;9;240;24?000
Forza cereales alimentaires paquet/24;2023;7;24;24?000
Forza cereales alimentaires paquet/24;2023;8;24;24?000
Forza cereales alimentaires paquet/24;2023;9;24;24?000
Uvesterol ADEC sol buvable FL/10ml;2023;1;31;24?051
Sirofen sp;2023;5;19;24?111
Septyl BB fl/200ml;2023;9;20;24?120
Dynapar gel;2023;5;26;24?180
Panol 500mg cp B/100;2023;1;250;24?250
Diprosone 0,05% creme T/30g;2023;8;12;24?262
Cyteal sol mouss Fl/250ml;2023;3;17;24?265
Fuclo 500 cp;2023;7;9;24?298
Maxilase 200 UI sp Fl/125ml;2023;9;15;24?405
Genforte cp b/10x10;2023;6;40;24?440
Richfer gï¿½lules;2023;6;14;24?472
Voltfast sachets;2023;1;11;24?479
Febrilex plus cp plaq/4;2023;3;100;24?500
Maxilase 200 UI sp Fl/125ml;2023;6;15;24?510
Septimyl chlorhex srp 100ml;2023;1;10;24?520
Genacid sirop;2023;5;28;24?531
Novotwist aig 0.32x5 b/100;2023;5;248;24?552
Daktarin 2% gel buccal T/40g;2023;4;9;24?582
Chericof sp Fl/100ml;2023;3;27;24?586
Appetine 2mg/5ml Fl/100ml;2023;8;35;24?625
Paidoterin sp Fl/100ml;2023;2;15;24?625
Rinogrip sachet;2023;6;20;24?655
Cerelac biscuit;2023;5;12;24?672
Zentel sp Fl/10ml;2023;4;20;24?680
Intimy gel lubrifiant;2023;7;10;24?690
Biberon en verre fl/240ml caou rose;2023;7;9;24?705
Doliprane 300mg  sachet B/12;2023;3;30;24?720
Fixim 200 cp;2023;1;15;24?735
Flagyl 250mg cp B/20;2023;1;13;24?783
Vermox sp FL/30ml;2023;5;20;24?800
Cotrimoxazole ubi 400mg cpr 100bl10;2023;5;110;24?820
Amlibon 5 mg cp B/30;2023;1;10;24?821
Avamys ;2023;1;15;24?833
Dermobacter sol mouss derm Fl/300ml;2023;5;12;24?840
CAC 1000 orange cp eff B/10;2023;4;20;24?870
Bilaxten 20mg cp b/10;2023;7;9;24?885
Fervex Framboise AD sol buv sach b/8;2023;4;10;24?890
Spasfon amp inj 4ml B/6;2023;5;13;24?905
Polygynax ovule B/12;2023;6;15;24?915
Prï¿½dni 20mg cooper cp b/20;2023;4;12;24?996
Colposeptine ovule B/18;2023;3;10;25?000
Gelofusine 4% inj FL/500ml;2023;8;10;25?000
Spasfon Lyoc 80mg B/10 sans sucre ;2023;3;15;25?005
Doliprane 300mg  sachet B/12;2023;5;30;25?020
Doliprane 300mg  sachet B/12;2023;9;30;25?020
No300Spa forte B/20 cp;2023;3;11;25?020
Orofer gelules;2023;1;16;25?024
Surdex sp Fl/60ml;2023;1;32;25?041
Gelofusine 4% inj FL/500ml;2023;3;10;25?050
Alzol sirop;2023;3;50;25?065
Glyss suppo Ad B/10;2023;7;45;25?095
Mixtard insul;2023;5;30;25?110
Flagyl 125ml/5ml sup buv /120ml;2023;9;15;25?135
Ovumix ;2023;4;12;25?143
Cardiurine cp B/30;2023;1;10;25?165
Zeben cp B/1;2023;9;57;25?167
Strimol extra cp;2023;7;32;25?182
Cardiurine cp B/30;2023;3;10;25?198
Insulet mix;2023;1;30;25?200
Stimogene sp Fl/200ml;2023;7;15;25?200
Cardiurine cp B/30;2023;9;10;25?210
Cefolac 200mg cp pell b/8;2023;7;10;25?212
Nido 1+ croiss lait pdre b/900g;2023;9;12;25?218
Genacid sirop;2023;3;29;25?249
Multical plus;2023;2;10;25?260
Biofar vit c 1000 b/20;2023;9;13;25?330
Multical plus;2023;5;10;25?330
Diclo pharma5 50mg cpb/20;2023;2;12;25?360
Vermox 500mg cp B/1;2023;6;30;25?380
Vermox 500mg cp B/1;2023;8;30;25?400
Flucogen 500mg;2023;2;23;25?471
Chibroxine 0,3% cy Fl/5ml;2023;4;13;25?498
Ringer lactat Frï¿½senius Kabipac sol perf 500ml;2023;5;30;25?540
Alpraz 1mg cp B/14;2023;8;18;25?578
Glucophage 500mg cp B/30;2023;1;32;25?599
Paracetamol kabi 10mg/ml perf f/100ml;2023;2;20;25?600
Norlevo 1,5mg cp B/1;2023;4;10;25?610
Ibuprofen 400mg denk plag/10x10 cp;2023;3;80;25?620
Drill rhume cp;2023;2;20;25?640
Cofantrine ad 80/400mg cp bt/6;2023;4;15;25?655
Litacold bebe vaporub;2023;1;12;25?721
Nuravit 4mg cp b/15;2023;5;14;25?742
Liposic gel oph;2023;3;20;25?745
Spironolactone altizid arrow 25/15mg bte/30;2023;1;11;25?807
Cetamyl 500mg cp  B/20 sans sucre;2023;9;81;25?839
Eucarbon cp B/30 sans sucre;2023;5;14;25?872
Serum sale isotonique PNA;2023;8;48;25?872
Eucarbon cp B/30 sans sucre;2023;8;14;25?970
Vogalene sp FL/150ml;2023;8;14;25?986
Perfuseur;2023;2;100;26?000
Fixim sp;2023;2;10;26?015
Sitrus sr comprimï¿½s;2023;8;12;26?022
Betadine bleue sol gyneco Fl/125ml;2023;8;30;26?040
Fructines vichy 5mg cp ;2023;6;21;26?040
Fluditec sp Enf F/125ml;2023;8;20;26?060
Apetamin sirop;2023;4;15;26?110
Zing sirop;2023;3;18;26?112
Artrime gh 80mg/400mg cp bte 6;2023;9;10;26?140
Trimetabol sp FL/150ml;2023;2;12;26?177
Vitapetine sp FL/125ml;2023;5;11;26?215
Duphalac sachet B/20;2023;6;14;26?264
Dologan denk cp;2023;4;10;26?270
Dologan denk cp;2023;5;10;26?285
Genacid sirop;2023;4;30;26?310
Boncipro perf;2023;8;10;26?320
Dologan denk cp;2023;3;10;26?330
Skilax gtte buv FL/15ml;2023;2;25;26?335
Normet sp Fl/30ml;2023;3;20;26?350
Skilax gtte buv FL/15ml;2023;9;25;26?350
Skilax gtte buv FL/15ml;2023;5;25;26?350
Febrilex junior;2023;1;25;26?354
Azient 500cp b/3;2023;7;10;26?360
Troynoxa 40;2023;5;14;26?362
Fluca collyre;2023;2;10;26?390
Azitrine 500 cp;2023;5;10;26?397
Aerius sp 0,5mg/ml Fl/60ml;2023;4;10;26?460
Pyrantox sp FL/15ml;2023;4;45;26?460
Rolicin 500mg cp;2023;5;15;26?460
Surdex sp Fl/60ml;2023;4;34;26?472
Baneocin pde tbe 20g;2023;4;25;26?480
Ramithiazide 10/12.5 cp;2023;5;10;26?490
Secuvit sp f/250ml;2023;6;13;26?494
Norflozole cp;2023;5;10;26?497
Dispamox 1g dispersible B/14 cp;2023;1;10;26?500
Aerius sp 0,5mg/ml Fl/60ml;2023;6;10;26?510
Aerius sp 0,5mg/ml Fl/60ml;2023;9;10;26?510
Largactil cp B/30;2023;1;17;26?510
Salbutus sp FL/200ml;2023;6;20;26?520
Marimer baby sol nasal isotoniq spr fl/100ml;2023;5;10;26?530
Ramithiazide 10/12.5 cp;2023;8;10;26?538
Myoxeril cp b/20;2023;7;10;26?540
Artefan 80/480 cp B/6;2023;4;12;26?558
Polyfresh coll;2023;8;11;26?563
Zeben cp B/1;2023;7;60;26?575
Amoxi denk 1000mg cp b/10;2023;2;15;26?580
Amoxi denk 1000mg cp b/10;2023;3;15;26?580
Febrilex plus sp;2023;4;10;26?610
Artane 5mg cp B/20;2023;5;30;26?640
Ferfoltone gelu B/30;2023;7;40;26?640
Fervex AD sach B/8;2023;5;16;26?654
Cï¿½rï¿½lac blï¿½ pot 400g;2023;1;13;26?685
Miorel Ge inj amp B/2ml B/5;2023;1;10;26?740
Miorel Ge inj amp B/2ml B/5;2023;4;10;26?750
Voltarene emulgel 1% T/50g;2023;2;20;26?775
Upsa300 C cp eff B/10;2023;2;40;26?785
Dacryoserum sol oculaire unidose/20;2023;1;13;26?805
Dacryoserum sol oculaire unidose/20;2023;3;13;26?813
Aspegic 100mg B/20 sachet;2023;6;30;26?850
Ibuprofen GH cp b/10x10;2023;7;60;26?920
Voltarene emulgel 1% T/50g;2023;5;20;26?930
Flub sup buv 30ml;2023;8;20;26?940
Diclowal 100mg suppo B/10;2023;1;16;26?990
Fuclo 500 cp;2023;8;10;27?020
Hemorex kit cr tb35g + vpr bt30;2023;3;10;27?056
Aclav 500 sach b/12 ;2023;4;9;27?115
Zentel sp Fl/10ml;2023;2;22;27?138
Upsa300 C cp eff B/10;2023;4;77;27?176
Tanganil 500mg cp B/30;2023;4;10;27?180
Cyteal sol mouss Fl/250ml;2023;1;19;27?201
Tanganil 500mg cp B/30;2023;8;10;27?210
Ovumix ;2023;7;13;27?236
Desloratadine gh;2023;6;15;27?265
Amlibon 5 mg cp B/30;2023;3;11;27?269
Perispam cp bte 30;2023;7;12;27?278
Donormyl 15mg cp eff b/10;2023;3;11;27?298
Perispam cp bte 30;2023;5;12;27?305
Daktarin 2% gel buccal T/40g;2023;7;10;27?308
Panalgic  cp eff B/16;2023;3;35;27?315
No300Spa forte B/20 cp;2023;6;12;27?324
Dicynone 500mg cp B/20 sans sucre;2023;8;10;27?380
Tardyferon 80mg cp B/30;2023;7;146;27?488
Peridys sp Fl/200ml;2023;1;19;27?523
Escodyne cpeff  B/10;2023;3;22;27?544
Poche ï¿½ urine;2023;1;70;27?550
Collyre bleue laiter faible cy;2023;3;25;27?580
Septimyl chlorhex srp 100ml;2023;3;10;27?590
Septimyl chlorhex srp 100ml;2023;4;10;27?630
Visceralgine sp FL/150ml ;2023;4;25;27?640
Gripex lemon sht b/10;2023;5;17;27?650
